ID_Assuré,Période_exposition,Nb_sinistres,Montant_total,Âge,Sexe,Expérience,Type_véhicule,Zone_géographique,Usage,Historique,Date_sinistre
A1031,0.96,0,0,35,Homme,14,Citadine,Strasbourg,Privé,Malus,
A1032,0.55,0,0,35,Femme,8,Cabriolet,Rennes,Professionnel,,
A1033,0.59,0,0,18,Homme,0,Cabriolet,Bordeaux,Privé,Malus,
A1034,0.91,0,0,67,Homme,9,Cabriolet,Rennes,Privé,Bonus,
A1035,0.61,0,0,70,Femme,11,SUV,Toulouse,Privé,,
A1036,0.56,1,552,22,Homme,2,Break,Lille,Privé,Bonus,2024-08-02
A1037,0.76,0,0,64,Femme,35,Break,Bordeaux,Privé,,
A1038,0.89,3,4777,41,Homme,11,SUV,Bordeaux,Professionnel,Bonus,2024-03-27
A1039,0.99,0,0,27,Femme,2,SUV,Marseille,Privé,,
A1040,0.8,1,3495,46,Femme,17,SUV,Rennes,Privé,Bonus,2024-09-30
A1041,0.62,0,0,23,Femme,5,Citadine,Bordeaux,Privé,Bonus,
A1042,0.61,0,0,60,Homme,23,Cabriolet,Lille,Professionnel,Malus,
A1043,0.67,0,0,23,Homme,0,SUV,Lille,Professionnel,Bonus,
A1044,0.72,0,0,30,Femme,7,Berline,Lille,Professionnel,Bonus,
A1045,0.92,0,0,27,Femme,7,SUV,Strasbourg,Professionnel,,
A1046,0.64,0,0,19,Homme,0,Citadine,Lyon,Privé,Malus,
A1047,0.61,0,0,52,Homme,25,Berline,Marseille,Professionnel,Malus,
A1048,0.59,0,0,29,Homme,6,Berline,Paris,Professionnel,Malus,
A1049,0.92,1,6990,46,Femme,22,Cabriolet,Nice,Privé,Bonus,2024-03-23
A1050,0.83,0,0,46,Homme,15,Berline,Nice,Professionnel,,
A1051,0.67,0,0,59,Homme,29,Break,Nantes,Privé,Bonus,
A1052,0.91,0,0,43,Homme,0,Break,Nice,Professionnel,Bonus,
A1053,0.9,1,8794,32,Femme,12,Cabriolet,Lille,Professionnel,Malus,2024-10-15
A1054,0.92,0,0,59,Femme,6,Utilitaire,Toulouse,Privé,Malus,
A1055,0.77,0,0,51,Femme,27,Cabriolet,Lille,Professionnel,Malus,
A1056,0.61,0,0,18,Femme,0,Cabriolet,Nice,Professionnel,,
A1057,0.55,0,0,50,Homme,6,Cabriolet,Toulouse,Privé,,
A1058,0.85,1,16970,69,Femme,17,Citadine,Lille,Professionnel,Malus,2024-04-17
A1059,0.69,1,4172,65,Homme,17,Utilitaire,Lille,Professionnel,,2024-01-03
A1060,0.57,0,0,70,Homme,2,Utilitaire,Toulouse,Professionnel,Malus,
A1061,0.53,0,0,33,Homme,3,Berline,Nantes,Professionnel,Bonus,
A1062,0.79,3,6432,44,Femme,24,Cabriolet,Bordeaux,Privé,,2024-06-19
A1063,0.6,1,12998,39,Homme,2,Break,Lille,Privé,,2024-08-06
A1064,0.78,2,16224,47,Homme,14,Break,Marseille,Professionnel,,2024-07-29
A1065,0.83,2,11745,54,Homme,15,Cabriolet,Nantes,Privé,Bonus,2024-08-22
A1066,0.97,0,0,62,Homme,30,Cabriolet,Toulouse,Professionnel,Bonus,
A1067,0.9,3,15536,42,Homme,5,Berline,Nice,Privé,,2024-04-01
A1068,0.79,0,0,43,Homme,11,Citadine,Rennes,Professionnel,Bonus,
A1069,0.69,0,0,44,Femme,5,Utilitaire,Paris,Professionnel,Bonus,
A1070,0.66,0,0,64,Femme,8,Break,Rennes,Privé,,
A1071,0.8,0,0,24,Femme,6,Utilitaire,Strasbourg,Privé,Malus,
A1072,0.66,2,9065,54,Homme,21,Berline,Bordeaux,Professionnel,Malus,2024-03-08
A1073,0.54,0,0,49,Femme,3,Berline,Toulouse,Privé,,
A1074,0.65,0,0,19,Homme,0,Break,Marseille,Privé,Malus,
A1075,0.99,0,0,48,Homme,7,Berline,Toulouse,Professionnel,,
A1076,0.91,0,0,61,Homme,29,Cabriolet,Paris,Privé,,
A1077,0.53,1,15322,46,Femme,25,Break,Lille,Professionnel,Malus,2024-04-06
A1078,0.72,0,0,48,Femme,23,Berline,Nantes,Professionnel,,
A1079,0.66,1,19324,34,Femme,2,Break,Strasbourg,Professionnel,,2024-10-19
A1080,0.7,2,15636,66,Homme,30,Cabriolet,Bordeaux,Privé,,2024-09-26
A1081,0.76,0,0,51,Homme,3,Break,Strasbourg,Privé,Bonus,
A1082,0.79,0,0,25,Homme,4,Citadine,Nantes,Privé,Malus,
A1083,0.58,1,17122,56,Femme,7,Cabriolet,Bordeaux,Professionnel,,2024-07-27
A1084,0.86,3,7097,52,Homme,21,Break,Rennes,Privé,Bonus,2024-03-26
A1085,0.9,1,4377,68,Femme,20,Break,Nantes,Professionnel,,2024-07-07
A1086,0.52,0,0,56,Homme,16,Utilitaire,Bordeaux,Privé,Malus,
A1087,0.86,1,4645,58,Femme,31,Berline,Lyon,Professionnel,Malus,2024-07-07
A1088,0.75,0,0,56,Femme,13,Cabriolet,Paris,Privé,,
A1089,0.55,0,0,64,Femme,35,Berline,Rennes,Professionnel,,
A1090,0.67,0,0,65,Femme,28,Berline,Nice,Privé,Bonus,
A1091,0.69,3,11574,50,Femme,22,Berline,Paris,Privé,Bonus,2024-09-17
A1092,0.95,0,0,68,Femme,0,Utilitaire,Toulouse,Privé,Malus,
A1093,0.53,0,0,60,Femme,2,Cabriolet,Bordeaux,Privé,,
A1094,0.84,0,0,66,Homme,40,Citadine,Lille,Privé,Malus,
A1095,0.6,1,6295,24,Femme,3,Citadine,Marseille,Professionnel,Bonus,2024-11-24
A1096,0.92,0,0,49,Femme,11,Utilitaire,Rennes,Privé,Malus,
A1097,0.58,0,0,22,Homme,1,Cabriolet,Paris,Professionnel,Bonus,
A1098,0.98,2,9201,29,Homme,6,Utilitaire,Nice,Privé,,2024-07-21
A1099,0.84,1,1146,61,Homme,5,SUV,Toulouse,Professionnel,,2024-04-14
A1100,0.59,1,1486,54,Femme,8,Cabriolet,Lyon,Professionnel,,2024-03-26
A1101,0.61,0,0,37,Femme,5,Utilitaire,Marseille,Professionnel,Malus,
A1102,0.68,1,17032,18,Femme,0,Citadine,Lyon,Professionnel,Bonus,2024-03-26
A1103,0.52,1,5029,59,Femme,18,Break,Paris,Professionnel,,2024-06-17
A1104,0.73,0,0,51,Femme,27,Cabriolet,Nice,Professionnel,Malus,
A1105,0.92,0,0,29,Femme,3,Break,Marseille,Professionnel,Bonus,
A1106,0.53,2,14786,18,Homme,0,Citadine,Bordeaux,Professionnel,Bonus,2024-12-04
A1107,0.94,0,0,45,Homme,23,Break,Toulouse,Privé,Malus,
A1108,0.9,2,16094,44,Homme,16,Citadine,Lille,Privé,Malus,2024-05-06
A1109,0.98,1,4085,36,Femme,15,Citadine,Paris,Privé,Malus,2024-08-30
A1110,0.61,0,0,31,Homme,3,Break,Paris,Professionnel,Bonus,
A1111,0.55,2,2445,22,Homme,3,Citadine,Nantes,Professionnel,Bonus,2024-05-23
A1112,0.6,2,15904,19,Homme,1,Berline,Lille,Professionnel,,2024-12-04
A1113,0.92,0,0,39,Femme,19,Cabriolet,Strasbourg,Professionnel,Bonus,
A1114,0.96,1,18692,21,Homme,3,SUV,Strasbourg,Professionnel,,2024-03-19
A1115,0.96,1,4562,43,Homme,11,Utilitaire,Nantes,Privé,,2024-04-28
A1116,0.84,0,0,53,Femme,3,Cabriolet,Marseille,Professionnel,,
A1117,0.83,2,5427,69,Homme,20,SUV,Paris,Professionnel,,2024-02-10
A1118,0.95,3,14906,62,Homme,15,Berline,Bordeaux,Privé,Malus,2024-05-13
A1119,1.0,0,0,68,Homme,36,Citadine,Nantes,Privé,,
A1120,0.73,0,0,55,Homme,32,Berline,Toulouse,Professionnel,,
A1121,0.99,0,0,50,Femme,25,Cabriolet,Paris,Professionnel,,
A1122,0.95,0,0,57,Femme,39,Citadine,Lille,Professionnel,Malus,
A1123,0.75,0,0,57,Femme,16,Utilitaire,Nice,Professionnel,Bonus,
A1124,0.83,0,0,42,Homme,24,SUV,Paris,Privé,,
A1125,0.91,0,0,33,Femme,13,Cabriolet,Toulouse,Professionnel,Bonus,
A1126,0.86,2,14335,50,Homme,24,Citadine,Bordeaux,Privé,Malus,2024-11-13
A1127,0.75,0,0,54,Homme,0,Berline,Lyon,Professionnel,,
A1128,0.98,0,0,18,Homme,0,Berline,Nice,Privé,Bonus,
A1129,0.78,0,0,26,Femme,6,Berline,Paris,Professionnel,Bonus,
A1130,0.8,0,0,18,Homme,0,Cabriolet,Strasbourg,Privé,Bonus,
A1131,0.84,0,0,67,Femme,1,Citadine,Nice,Professionnel,Malus,
A1132,0.78,0,0,67,Homme,14,Cabriolet,Lyon,Privé,Bonus,
A1133,0.68,0,0,58,Femme,30,Cabriolet,Strasbourg,Professionnel,Malus,
A1134,0.94,0,0,24,Homme,1,Berline,Strasbourg,Privé,,
A1135,0.62,1,19520,60,Homme,10,Berline,Lille,Privé,Malus,2024-04-24
A1136,0.67,0,0,23,Homme,3,Utilitaire,Bordeaux,Professionnel,,
A1137,0.58,0,0,32,Homme,14,Break,Toulouse,Professionnel,Bonus,
A1138,0.99,0,0,49,Femme,22,Berline,Rennes,Privé,Malus,
A1139,0.53,0,0,66,Homme,32,Utilitaire,Nantes,Professionnel,Malus,
A1140,0.94,0,0,28,Femme,5,Citadine,Strasbourg,Professionnel,,
A1141,0.59,0,0,48,Femme,25,Berline,Lille,Privé,,
A1142,1.0,0,0,57,Homme,0,Utilitaire,Marseille,Privé,Malus,
A1143,0.82,0,0,47,Femme,18,Cabriolet,Strasbourg,Privé,Malus,
A1144,0.96,1,16042,65,Femme,30,Cabriolet,Toulouse,Professionnel,Bonus,2024-09-21
A1145,0.9,1,2864,44,Femme,23,Cabriolet,Toulouse,Professionnel,Bonus,2024-01-31
A1146,0.97,0,0,68,Homme,27,SUV,Lyon,Privé,,
A1147,0.57,1,4570,28,Femme,8,Berline,Lille,Professionnel,Bonus,2024-01-30
A1148,0.65,3,17077,70,Homme,12,Break,Nice,Professionnel,,2024-01-17
A1149,0.54,0,0,36,Femme,14,Utilitaire,Rennes,Professionnel,Bonus,
A1150,0.94,1,8115,27,Homme,1,Cabriolet,Paris,Professionnel,Malus,2024-08-02
A1151,0.55,0,0,20,Femme,1,Break,Toulouse,Privé,Malus,
A1152,0.94,3,4954,28,Homme,10,Utilitaire,Lille,Professionnel,Bonus,2024-04-11
A1153,0.64,1,15643,60,Femme,32,Break,Rennes,Professionnel,,2024-03-06
A1154,0.59,1,18646,70,Femme,18,Citadine,Lille,Privé,,2024-05-15
A1155,0.87,1,840,51,Homme,22,Berline,Paris,Privé,Bonus,2024-09-06
A1156,0.93,0,0,55,Homme,18,Cabriolet,Bordeaux,Professionnel,Malus,
A1157,0.71,0,0,29,Homme,2,Cabriolet,Lyon,Professionnel,Bonus,
A1158,0.65,0,0,51,Femme,3,Berline,Rennes,Privé,Malus,
A1159,0.54,3,17690,66,Femme,31,Citadine,Marseille,Professionnel,Malus,2024-01-15
A1160,0.78,0,0,37,Homme,2,Break,Paris,Privé,,
A1161,0.74,2,3942,22,Femme,0,Cabriolet,Nice,Professionnel,Bonus,2024-05-18
A1162,0.79,0,0,21,Femme,3,Berline,Marseille,Professionnel,,
A1163,0.98,1,534,47,Femme,27,Break,Lyon,Professionnel,,2024-05-07
A1164,0.7,0,0,18,Homme,0,Utilitaire,Toulouse,Privé,Bonus,
A1165,0.83,2,9746,58,Femme,16,SUV,Nice,Privé,,2024-03-26
A1166,0.55,0,0,44,Femme,11,Citadine,Marseille,Privé,Bonus,
A1167,0.8,1,6075,60,Homme,1,Cabriolet,Rennes,Privé,,2024-02-06
A1168,0.54,2,12185,54,Homme,24,Break,Marseille,Professionnel,,2024-10-18
A1169,0.7,1,13296,34,Homme,16,SUV,Strasbourg,Professionnel,,2024-03-27
A1170,0.61,0,0,42,Homme,15,Break,Nice,Privé,Bonus,
A1171,0.8,1,8774,61,Homme,19,Berline,Rennes,Professionnel,Malus,2024-02-04
A1172,0.76,0,0,56,Femme,7,SUV,Strasbourg,Privé,,
A1173,0.83,0,0,35,Femme,7,Cabriolet,Strasbourg,Privé,,
A1174,0.84,0,0,70,Femme,26,Berline,Lyon,Privé,Malus,
A1175,0.86,2,13930,37,Femme,0,Utilitaire,Strasbourg,Professionnel,Malus,2024-07-14
A1176,0.89,1,9148,60,Homme,16,Citadine,Strasbourg,Privé,Bonus,2024-09-13
A1177,0.96,0,0,21,Femme,1,Citadine,Nice,Professionnel,Bonus,
A1178,0.98,0,0,34,Femme,4,Break,Strasbourg,Privé,Malus,
A1179,0.84,0,0,64,Femme,37,SUV,Strasbourg,Professionnel,,
A1180,0.88,3,7641,37,Femme,0,Citadine,Marseille,Professionnel,,2024-08-25
A1181,0.88,0,0,18,Homme,0,SUV,Nice,Professionnel,,
A1182,0.81,3,7727,34,Femme,9,SUV,Bordeaux,Privé,Malus,2024-09-10
A1183,0.94,3,3508,25,Femme,6,Utilitaire,Nice,Privé,Malus,2024-08-13
A1184,0.82,1,1399,23,Femme,3,Berline,Paris,Privé,Bonus,2024-10-29
A1185,0.75,0,0,57,Homme,36,Berline,Nantes,Privé,,
A1186,0.85,0,0,36,Homme,0,Utilitaire,Nice,Privé,Bonus,
A1187,0.99,0,0,30,Homme,1,Cabriolet,Lille,Privé,,
A1188,0.57,1,13765,63,Femme,17,Break,Toulouse,Privé,Malus,2024-08-03
A1189,0.93,1,17043,70,Homme,33,Citadine,Lyon,Professionnel,,2024-03-18
A1190,0.72,0,0,54,Femme,21,Citadine,Paris,Privé,Bonus,
A1191,0.96,0,0,33,Homme,10,Cabriolet,Nice,Professionnel,Bonus,
A1192,0.57,0,0,36,Femme,18,Utilitaire,Paris,Professionnel,Bonus,
A1193,0.86,0,0,52,Femme,29,SUV,Lyon,Professionnel,Bonus,
A1194,0.95,0,0,68,Femme,9,Break,Marseille,Professionnel,,
A1195,0.68,0,0,48,Femme,25,Berline,Rennes,Privé,Bonus,
A1196,0.89,0,0,65,Homme,34,Utilitaire,Lyon,Privé,Malus,
A1197,0.63,0,0,55,Femme,17,Citadine,Lille,Professionnel,Malus,
A1198,0.5,0,0,49,Femme,5,Utilitaire,Rennes,Privé,,
A1199,0.84,0,0,44,Femme,12,Break,Toulouse,Privé,,
A1200,0.75,0,0,54,Homme,21,Break,Lille,Privé,Bonus,
A1201,0.55,1,2274,55,Homme,3,Cabriolet,Lille,Privé,Malus,2024-03-15
A1202,0.54,0,0,49,Homme,9,Citadine,Rennes,Professionnel,Malus,
A1203,0.86,1,19900,21,Femme,0,Break,Strasbourg,Professionnel,Bonus,2024-11-03
A1204,0.54,0,0,61,Femme,24,SUV,Nice,Privé,,
A1205,0.8,1,9284,25,Femme,6,Utilitaire,Bordeaux,Professionnel,Malus,2024-11-24
A1206,0.83,0,0,49,Homme,8,Break,Toulouse,Privé,Bonus,
A1207,0.9,0,0,20,Femme,0,Citadine,Strasbourg,Professionnel,Bonus,
A1208,0.75,0,0,65,Femme,21,Utilitaire,Bordeaux,Privé,Bonus,
A1209,0.58,0,0,45,Homme,23,Utilitaire,Nice,Privé,Bonus,
A1210,0.73,0,0,49,Homme,31,Utilitaire,Toulouse,Professionnel,,
A1211,0.66,0,0,49,Femme,25,SUV,Bordeaux,Privé,,
A1212,0.96,1,911,67,Femme,23,SUV,Nice,Privé,Malus,2024-07-28
A1213,0.7,0,0,53,Homme,12,SUV,Rennes,Privé,Malus,
A1214,0.97,3,1607,62,Homme,20,Cabriolet,Strasbourg,Professionnel,Bonus,2024-10-17
A1215,0.94,0,0,59,Homme,5,Cabriolet,Nice,Privé,Bonus,
A1216,0.59,3,7049,35,Homme,9,Citadine,Marseille,Professionnel,Malus,2024-12-15
A1217,0.6,0,0,33,Homme,10,Cabriolet,Lille,Professionnel,Bonus,
A1218,0.53,0,0,42,Homme,18,Berline,Rennes,Privé,Malus,
A1219,0.7,3,5571,34,Homme,15,Break,Nantes,Professionnel,Bonus,2024-12-04
A1220,0.75,1,5370,38,Femme,9,SUV,Lyon,Privé,,2024-11-07
A1221,0.62,1,11831,54,Homme,28,Cabriolet,Rennes,Professionnel,,2024-04-08
A1222,1.0,0,0,38,Homme,9,Cabriolet,Rennes,Privé,Bonus,
A1223,0.98,0,0,30,Femme,0,Citadine,Nice,Privé,Malus,
A1224,0.71,0,0,25,Femme,0,SUV,Marseille,Professionnel,Malus,
A1225,0.93,0,0,39,Femme,4,SUV,Nantes,Privé,Malus,
A1226,0.84,0,0,38,Femme,11,Break,Toulouse,Professionnel,,
A1227,0.67,0,0,40,Homme,1,Cabriolet,Nantes,Privé,Malus,
A1228,0.78,0,0,51,Femme,19,Cabriolet,Nantes,Privé,Bonus,
A1229,0.77,1,13030,55,Femme,18,Cabriolet,Nice,Privé,,2024-10-02
A1230,0.85,0,0,52,Femme,26,Berline,Nice,Professionnel,,
A1231,0.52,0,0,22,Homme,0,Berline,Lille,Professionnel,,
A1232,0.65,0,0,63,Femme,28,Cabriolet,Toulouse,Professionnel,Bonus,
A1233,0.63,0,0,41,Homme,2,Cabriolet,Paris,Privé,Malus,
A1234,0.51,1,17475,53,Homme,3,Break,Paris,Privé,Malus,2024-05-09
A1235,0.79,0,0,29,Femme,4,SUV,Lyon,Privé,,
A1236,0.65,0,0,23,Femme,2,Break,Strasbourg,Privé,Malus,
A1237,0.88,0,0,31,Homme,1,Berline,Paris,Professionnel,Malus,
A1238,0.68,1,7357,25,Femme,4,Berline,Lille,Professionnel,,2024-09-12
A1239,0.93,2,17166,18,Homme,0,Break,Nantes,Professionnel,,2024-02-26
A1240,0.92,0,0,39,Homme,20,Citadine,Paris,Professionnel,Malus,
A1241,0.81,1,13029,67,Femme,12,Utilitaire,Nice,Professionnel,,2024-04-02
A1242,0.87,0,0,65,Homme,9,Utilitaire,Nantes,Professionnel,Malus,
A1243,0.65,2,17097,63,Homme,22,Break,Paris,Professionnel,Malus,2024-06-05
A1244,0.52,1,11265,65,Femme,4,Cabriolet,Nantes,Professionnel,,2024-07-23
A1245,0.66,0,0,64,Homme,17,Citadine,Nice,Privé,,
A1246,0.93,0,0,39,Homme,0,Berline,Paris,Privé,Malus,
A1247,0.72,0,0,39,Homme,10,Break,Marseille,Privé,Malus,
A1248,0.71,0,0,34,Femme,13,Citadine,Toulouse,Professionnel,Malus,
A1249,0.69,1,18269,49,Femme,11,Citadine,Bordeaux,Professionnel,Malus,2024-04-17
A1250,0.96,0,0,27,Homme,8,Break,Bordeaux,Professionnel,,
A1251,0.82,0,0,45,Femme,3,SUV,Nantes,Privé,Bonus,
A1252,0.55,2,977,70,Homme,12,SUV,Nantes,Professionnel,Bonus,2024-12-06
A1253,0.89,0,0,50,Femme,17,Cabriolet,Lille,Privé,Bonus,
A1254,0.73,0,0,69,Homme,27,Citadine,Paris,Privé,,
A1255,0.85,0,0,46,Homme,10,Cabriolet,Nice,Professionnel,,
A1256,0.75,0,0,18,Femme,0,Citadine,Nice,Professionnel,,
A1257,0.89,0,0,32,Homme,1,SUV,Nice,Professionnel,,
A1258,0.59,0,0,30,Femme,10,Citadine,Strasbourg,Privé,Bonus,
A1259,0.78,0,0,21,Femme,2,Berline,Rennes,Professionnel,Bonus,
A1260,0.57,0,0,27,Femme,1,Citadine,Rennes,Privé,Bonus,
A1261,0.77,0,0,32,Femme,8,Berline,Lyon,Professionnel,Malus,
A1262,0.83,0,0,31,Femme,4,Break,Bordeaux,Professionnel,Malus,
A1263,0.72,1,16658,34,Homme,4,Cabriolet,Rennes,Professionnel,,2024-11-22
A1264,0.85,3,15342,51,Femme,15,Utilitaire,Strasbourg,Privé,,2024-08-20
A1265,0.77,0,0,67,Homme,14,Berline,Lyon,Professionnel,Bonus,
A1266,0.72,0,0,55,Homme,19,Utilitaire,Nice,Privé,Bonus,
A1267,0.56,1,3418,34,Femme,13,Citadine,Marseille,Privé,Malus,2024-05-22
A1268,0.61,3,19334,18,Femme,0,Cabriolet,Bordeaux,Privé,,2024-02-22
A1269,0.93,0,0,62,Femme,14,Utilitaire,Toulouse,Privé,,
A1270,0.52,1,10936,51,Femme,21,Citadine,Bordeaux,Professionnel,Bonus,2024-10-15
A1271,0.84,2,17896,20,Homme,0,Cabriolet,Marseille,Privé,Malus,2024-07-10
A1272,0.91,0,0,58,Femme,37,Citadine,Toulouse,Professionnel,Malus,
A1273,0.72,0,0,55,Femme,8,Break,Lyon,Professionnel,Malus,
A1274,0.69,3,16263,30,Femme,5,Citadine,Lille,Professionnel,Malus,2024-09-12
A1275,0.81,0,0,19,Homme,0,SUV,Marseille,Professionnel,Malus,
A1276,0.96,0,0,22,Homme,3,SUV,Lyon,Privé,Bonus,
A1277,0.72,0,0,50,Femme,32,Berline,Toulouse,Privé,,
A1278,0.64,0,0,25,Femme,3,Break,Toulouse,Privé,,
A1279,0.59,1,10550,24,Homme,0,Cabriolet,Bordeaux,Professionnel,Bonus,2024-07-03
A1280,0.97,0,0,43,Femme,25,Utilitaire,Strasbourg,Privé,,
A1281,0.72,2,3659,20,Homme,2,SUV,Bordeaux,Professionnel,Bonus,2024-10-21
A1282,0.57,1,5100,37,Femme,2,Berline,Paris,Privé,,2024-01-03
A1283,0.94,0,0,56,Homme,21,Citadine,Rennes,Professionnel,Bonus,
A1284,0.93,0,0,57,Femme,1,Citadine,Marseille,Professionnel,,
A1285,0.53,0,0,30,Homme,3,Berline,Strasbourg,Privé,Bonus,
A1286,0.73,0,0,39,Femme,8,Berline,Rennes,Privé,Malus,
A1287,0.87,1,4527,68,Femme,1,SUV,Toulouse,Privé,Bonus,2024-11-02
A1288,0.73,1,7959,22,Homme,3,SUV,Nantes,Privé,Malus,2024-08-27
A1289,0.59,0,0,44,Femme,14,SUV,Toulouse,Professionnel,Bonus,
A1290,0.88,1,922,62,Homme,3,Berline,Toulouse,Privé,,2024-06-30
A1291,0.97,0,0,36,Femme,5,SUV,Lille,Professionnel,Malus,
A1292,0.89,0,0,29,Femme,9,Citadine,Lille,Professionnel,,
A1293,0.7,0,0,30,Homme,0,Cabriolet,Bordeaux,Privé,Malus,
A1294,0.83,1,6581,19,Homme,1,Break,Nice,Professionnel,Malus,2024-05-18
A1295,0.68,0,0,24,Femme,1,SUV,Marseille,Privé,,
A1296,0.53,3,9158,40,Femme,14,Citadine,Paris,Professionnel,Bonus,2024-12-19
A1297,0.83,0,0,66,Femme,21,Citadine,Paris,Privé,Bonus,
A1298,0.75,0,0,28,Homme,2,Break,Bordeaux,Professionnel,Malus,
A1299,0.95,0,0,64,Femme,20,Utilitaire,Rennes,Professionnel,Bonus,
A1300,0.7,2,11106,33,Femme,9,Citadine,Lille,Professionnel,Bonus,2024-02-20
A1301,0.73,1,5650,64,Homme,19,Utilitaire,Rennes,Professionnel,,2024-05-19
A1302,0.74,1,8339,33,Femme,11,SUV,Lyon,Professionnel,Malus,2024-08-02
A1303,0.76,1,15368,35,Femme,12,Berline,Toulouse,Privé,Bonus,2024-02-26
A1304,0.83,1,13596,66,Homme,21,SUV,Bordeaux,Privé,Bonus,2024-04-14
A1305,0.91,0,0,51,Femme,32,Utilitaire,Strasbourg,Privé,,
A1306,0.76,0,0,41,Homme,21,SUV,Bordeaux,Professionnel,Bonus,
A1307,0.58,0,0,50,Femme,19,Break,Strasbourg,Privé,Malus,
A1308,0.85,0,0,56,Homme,23,SUV,Paris,Privé,,
A1309,0.9,0,0,22,Homme,1,Utilitaire,Rennes,Professionnel,Malus,
A1310,0.64,0,0,31,Homme,1,SUV,Nice,Privé,Malus,
A1311,0.96,1,6141,51,Femme,33,Citadine,Toulouse,Privé,,2024-12-30
A1312,0.65,0,0,52,Homme,21,Break,Toulouse,Professionnel,Bonus,
A1313,0.73,1,3133,34,Femme,12,Utilitaire,Nantes,Privé,Malus,2024-12-31
A1314,0.69,0,0,38,Femme,10,Cabriolet,Lyon,Professionnel,Bonus,
A1315,0.92,0,0,43,Femme,15,SUV,Marseille,Privé,Bonus,
A1316,0.69,0,0,24,Femme,0,SUV,Rennes,Privé,,
A1317,0.52,0,0,36,Homme,7,Utilitaire,Nantes,Privé,Bonus,
A1318,0.58,1,2039,20,Homme,0,SUV,Rennes,Privé,Malus,2024-09-22
A1319,0.54,0,0,36,Homme,11,Berline,Strasbourg,Professionnel,Bonus,
A1320,0.95,0,0,45,Femme,18,Break,Paris,Privé,Bonus,
A1321,0.86,0,0,52,Femme,23,Utilitaire,Toulouse,Privé,,
A1322,0.66,0,0,44,Femme,7,Citadine,Lille,Professionnel,Malus,
A1323,0.83,0,0,60,Femme,6,Utilitaire,Bordeaux,Privé,,
A1324,0.66,0,0,63,Homme,24,SUV,Strasbourg,Professionnel,Malus,
A1325,0.64,0,0,19,Femme,1,Citadine,Toulouse,Privé,Malus,
A1326,0.54,0,0,25,Homme,5,Utilitaire,Rennes,Privé,Malus,
A1327,0.54,0,0,40,Femme,5,Break,Paris,Professionnel,Bonus,
A1328,0.6,0,0,34,Homme,7,Citadine,Nice,Professionnel,Bonus,
A1329,0.83,0,0,18,Femme,0,Break,Marseille,Professionnel,,
A1330,0.7,1,3855,55,Homme,28,SUV,Strasbourg,Professionnel,,2024-01-12
